date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:09	15548/15548	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20May%202022%2021:42:33%20GMT	https://tema2.dokuzyazilim.com/u/tema2/banners/a/9/6/969-calvinklein-1652737353.jpg	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/u/tema2/banners/a/9/6/969-calvinklein-1652737353.jpg	(from https://tema2.dokuzyazilim.com/)
19:19:23	3160/3160	---M--	200	added ('OK')	image/png	date:Mon,%2016%20May%202022%2021:48:50%20GMT	https://tema2.dokuzyazilim.com/u/tema2/banners/a/p/n/png-transparent-tommy-hilfiger-brand-tommy-hilfiger-fashion-pvh-logo-clothing-tommy-hilfiger-logo-blue-angle-text-thumbnail-1652737730.png	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/u/tema2/banners/a/p/n/png-transparent-tommy-hilfiger-brand-tommy-hilfiger-fashion-pvh-logo-clothing-tommy-hilfiger-logo-blue-angle-text-thumbnail-1652737730.png	(from https://tema2.dokuzyazilim.com/)
19:19:35	8878/8878	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20May%202022%2021:42:11%20GMT	https://tema2.dokuzyazilim.com/u/tema2/banners/a/9/9/99-1652737331.jpg	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/u/tema2/banners/a/9/9/99-1652737331.jpg	(from https://tema2.dokuzyazilim.com/)
19:19:37	11282/11282	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20May%202022%2021:39:30%20GMT	https://tema2.dokuzyazilim.com/u/tema2/banners/a/4/a/4a9a8bf3552157285ebef1d5fe5d67a7-1652737170.jpg	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/u/tema2/banners/a/4/a/4a9a8bf3552157285ebef1d5fe5d67a7-1652737170.jpg	(from https://tema2.dokuzyazilim.com/)
19:19:38	35583/35583	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202023%2016:19:37%20GMT	https://tema2.dokuzyazilim.com/vitrindekiler	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/vitrindekiler.html	(from https://tema2.dokuzyazilim.com/)
19:19:39	52343/52343	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202023%2016:19:37%20GMT	https://tema2.dokuzyazilim.com/sun-series-2-5mm-kaydirmaz-yoga-mati-gumus-gri	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/sun-series-2-5mm-kaydirmaz-yoga-mati-gumus-gri.html	(from https://tema2.dokuzyazilim.com/)
19:19:39	7841/7841	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Jul%202021%2011:49:45%20GMT	https://tema2.dokuzyazilim.com/u/tema2/img/a/s/u/sun-series-2-5mm-kaydirmaz-yoga-mati-gumus-gri99b91f45828df701bd3607214c69727c.jpg	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/u/tema2/img/a/s/u/sun-series-2-5mm-kaydirmaz-yoga-mati-gumus-gri99b91f45828df701bd3607214c69727c.jpg	(from https://tema2.dokuzyazilim.com/)
19:19:40	71044/71044	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202023%2016:19:39%20GMT	https://tema2.dokuzyazilim.com/-25	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/-25.html	(from https://tema2.dokuzyazilim.com/)
19:19:40	39203/39203	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202023%2016:19:39%20GMT	https://tema2.dokuzyazilim.com/meditasyon-minderi-siyah-10-adet	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/meditasyon-minderi-siyah-10-adet.html	(from https://tema2.dokuzyazilim.com/)
19:19:40	46940/46940	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Jul%202021%2011:49:44%20GMT	https://tema2.dokuzyazilim.com/u/tema2/img/a/m/e/meditasyon-minderi-siyah-10-adetc5e2c3efe92e6833c53ce15c98da6dff.png	C:/Users/abdul/Desktop/HTTRACK/site3/site/tema2.dokuzyazilim.com/u/tema2/img/a/m/e/meditasyon-minderi-siyah-10-adetc5e2c3efe92e6833c53ce15c98da6dff.png	(from https://tema2.dokuzyazilim.com/)
